product,stage,chara,result
600×600陶瓷砖,原材料采集阶段_资源,全球变暖,0.6455822365071266
600×600陶瓷砖,原材料采集阶段_资源,光化学烟雾,0.0001764139383744692
600×600陶瓷砖,原材料采集阶段_资源,酸化效应,0.01523620727390757
600×600陶瓷砖,原材料采集阶段_资源,富营养化,0.0007996758354405182
600×600陶瓷砖,原材料采集阶段_资源,不可再生资源消耗,7.730944222653806e-05
600×600陶瓷砖,原材料采集阶段_资源,中国化石能源消耗,3.628163915781441
600×600陶瓷砖,原材料采集阶段_能源,全球变暖,4.630572803561213
600×600陶瓷砖,原材料采集阶段_能源,光化学烟雾,0.0006177113545544053
600×600陶瓷砖,原材料采集阶段_能源,酸化效应,0.03103973281906224
600×600陶瓷砖,原材料采集阶段_能源,富营养化,0.001561924942041066
600×600陶瓷砖,原材料采集阶段_能源,不可再生资源消耗,9.446142741597389e-06
600×600陶瓷砖,原材料采集阶段_能源,中国化石能源消耗,11.60635411227397
600×600陶瓷砖,生产制造阶段,全球变暖,18.05599714697911
600×600陶瓷砖,生产制造阶段,光化学烟雾,0.0006636059463700961
600×600陶瓷砖,生产制造阶段,酸化效应,0.02169661619506848
600×600陶瓷砖,生产制造阶段,富营养化,0.003191306359960461
600×600陶瓷砖,生产制造阶段,不可再生资源消耗,9.631689138198632e-06
600×600陶瓷砖,生产制造阶段,中国化石能源消耗,11.26677756822764
600×600陶瓷砖,销售阶段,全球变暖,1.826006787874426
600×600陶瓷砖,销售阶段,光化学烟雾,0.001406467512044454
600×600陶瓷砖,销售阶段,酸化效应,0.03727833926802462
600×600陶瓷砖,销售阶段,富营养化,0.00669746434306883
600×600陶瓷砖,销售阶段,不可再生资源消耗,6.255178961922775e-06
600×600陶瓷砖,销售阶段,中国化石能源消耗,10.55166552162731
800×800陶瓷砖,原材料采集阶段_资源,全球变暖,0.7849387930653178
800×800陶瓷砖,原材料采集阶段_资源,光化学烟雾,0.0002144953228141046
800×800陶瓷砖,原材料采集阶段_资源,酸化效应,0.01852513725783137
800×800陶瓷砖,原材料采集阶段_资源,富营养化,0.0009722968932314794
800×800陶瓷砖,原材料采集阶段_资源,不可再生资源消耗,9.399779355733316e-05
800×800陶瓷砖,原材料采集阶段_资源,中国化石能源消耗,4.411345166673218
800×800陶瓷砖,原材料采集阶段_能源,全球变暖,5.399064726131206
